Character,Transcription,Fanqie,Sixtuple,Reference
東,tuwng,德紅,通開一平東端,1
菄,tuwng,德紅,通開一平東端,1
鶇,tuwng,德紅,通開一平東端,1
䍶,tuwng,德紅,通開一平東端,1
䍶,drin,直珍,臻開三平眞澄,415
䍶,tuwngH,多貢,通開一去東端,2096
𠍀,tuwng,德紅,通開一平東端,1
倲,tuwng,德紅,通開一平東端,1
𩜍,tuwng,德紅,通開一平東端,1
𢘐,tuwng,德紅,通開一平東端,1
涷,tuwng,德紅,通開一平東端,1
涷,tuwngH,多貢,通開一去東端,2096
蝀,tuwng,德紅,通開一平東端,1
蝀,tuwngX,多動,通開一上東端,1157
凍,tuwng,德紅,通開一平東端,1
凍,tuwngH,多貢,通開一去東端,2096
鯟,tuwng,德紅,通開一平東端,1
𢔅,tuwng,德紅,通開一平東端,1
崠,tuwng,德紅,通開一平東端,1
埬,tuwng,德紅,通開一平東端,1
𧓕,tuwng,德紅,通開一平東端,1
䰤,tuwng,德紅,通開一平東端,1
同,duwng,徒紅,通開一平東定,2
仝,duwng,徒紅,通開一平東定,2
仝,dzjwen,疾緣,山合三平仙從,617
童,duwng,徒紅,通開一平東定,2
僮,duwng,徒紅,通開一平東定,2
銅,duwng,徒紅,通開一平東定,2
桐,duwng,徒紅,通開一平東定,2
峒,duwng,徒紅,通開一平東定,2
峒,duwngH,徒弄,通開一去東定,2101
硐,duwng,徒紅,通開一平東定,2
硐,duwngX,徒揔,通開一上東定,1169
𦨴,duwng,徒紅,通開一平東定,2
𧱁,duwng,徒紅,通開一平東定,2
筒,duwng,徒紅,通開一平東定,2
筒,duwngH,徒弄,通開一去東定,2101
瞳,duwng,徒紅,通開一平東定,2
㼧,duwng,徒紅,通開一平東定,2
𤭁,duwng,徒紅,通開一平東定,2
罿,duwng,徒紅,通開一平東定,2
罿,tsyhowng,尺容,通開三平鍾昌,49
犝,duwng,徒紅,通開一平東定,2
筩,duwng,徒紅,通開一平東定,2
潼,duwng,徒紅,通開一平東定,2
潼,tsyhowng,尺容,通開三平鍾昌,49
曈,duwng,徒紅,通開一平東定,2
曈,thuwng,他紅,通開一平東透,29
曈,thuwngX,他孔,通開一上東透,1161
洞,duwng,徒紅,通開一平東定,2
洞,duwngH,徒弄,通開一去東定,2101
侗,duwng,徒紅,通開一平東定,2
侗,thuwng,他紅,通開一平東透,29
侗,thuwngX,他孔,通開一上東透,1161
橦,duwng,徒紅,通開一平東定,2
橦,tsyowng,職容,通開三平鍾章,45
橦,draewng,宅江,江開二平江澄,82
烔,duwng,徒紅,通開一平東定,2
䴀,duwng,徒紅,通開一平東定,2
挏,duwng,徒紅,通開一平東定,2
挏,duwngX,徒揔,通開一上東定,1169
酮,duwng,徒紅,通開一平東定,2
酮,duwngX,徒揔,通開一上東定,1169
鮦,duwng,徒紅,通開一平東定,2
鮦,drjowngX,直隴,通開三上鍾澄,1176
鮦,drjuwX,除柳,流開三上尤澄,1942
㼿,duwng,徒紅,通開一平東定,2
㼿,tsyowngH,之用,通開三去鍾章,2135
𦏆,duwng,徒紅,通開一平東定,2
𦍻,duwng,徒紅,通開一平東定,2
眮,duwng,徒紅,通開一平東定,2
眮,duwngX,徒揔,通開一上東定,1169
眮,duwngH,徒弄,通開一去東定,2101
蕫,duwng,徒紅,通開一平東定,2
蕫,tuwngX,多動,通開一上東端,1157
穜,duwng,徒紅,通開一平東定,2
穜,drjowng,直容,通開三平鍾澄,56
衕,duwng,徒紅,通開一平東定,2
衕,duwngH,徒弄,通開一去東定,2101
𩍅,duwng,徒紅,通開一平東定,2
𢈉,duwng,徒紅,通開一平東定,2
䆚,duwng,徒紅,通開一平東定,2
哃,duwng,徒紅,通開一平東定,2
𢏕,duwng,徒紅,通開一平東定,2
絧,duwng,徒紅,通開一平東定,2
絧,duwngH,徒弄,通開一去東定,2101
𨝯,duwng,徒紅,通開一平東定,2
𨚯,duwng,徒紅,通開一平東定,2
𪔝,duwng,徒紅,通開一平東定,2
𩦶,duwng,徒紅,通開一平東定,2
𩦶,downg,徒冬,通開一平冬定,36
𪒿,duwng,徒紅,通開一平東定,2
中,trjuwng,陟弓,通開三平東知,3
中,trjuwngH,陟仲,通開三去東知,2112
衷,trjuwng,陟弓,通開三平東知,3
衷,trjuwngH,陟仲,通開三去東知,2112
忠,trjuwng,陟弓,通開三平東知,3
𦬕,trjuwng,陟弓,通開三平東知,3
𦬕,drjuwng,直弓,通開三平東澄,4
蟲,drjuwng,直弓,通開三平東澄,4
蟲,drjuwngH,直衆,通開三去東澄,2103
沖,drjuwng,直弓,通開三平東澄,4
种,drjuwng,直弓,通開三平東澄,4
盅,drjuwng,直弓,通開三平東澄,4
盅,trhjuwng,敕中,通開三平東徹,6
爞,drjuwng,直弓,通開三平東澄,4
爞,downg,徒冬,通開一平冬定,36
翀,drjuwng,直弓,通開三平東澄,4
終,tsyuwng,職戎,通開三平東章,5
衆,tsyuwng,職戎,通開三平東章,5
衆,tsyuwngH,之仲,通開三去東章,2115
眾,tsyuwng,職戎,通開三平東章,5
潨,tsyuwng,職戎,通開三平東章,5
潨,dzuwng,徂紅,通開一平東從,26
潨,dzowng,藏宗,通開一平冬從,37
𣧩,tsyuwng,職戎,通開三平東章,5
𧑄,tsyuwng,職戎,通開三平東章,5
𩅧,tsyuwng,職戎,通開三平東章,5
䝦,tsyuwng,職戎,通開三平東章,5
䶱,tsyuwng,職戎,通開三平東章,5
䶱,downg,徒冬,通開一平冬定,36
䈺,tsyuwng,職戎,通開三平東章,5
螽,tsyuwng,職戎,通開三平東章,5
鼨,tsyuwng,職戎,通開三平東章,5
蔠,tsyuwng,職戎,通開三平東章,5
柊,tsyuwng,職戎,通開三平東章,5
鴤,tsyuwng,職戎,通開三平東章,5
泈,tsyuwng,職戎,通開三平東章,5
忡,trhjuwng,敕中,通開三平東徹,6
浺,trhjuwng,敕中,通開三平東徹,6
崇,dzrjuwng,鋤弓,通開三平東崇,7
崈,dzrjuwng,鋤弓,通開三平東崇,7
㓽,dzrjuwng,鋤弓,通開三平東崇,7
㓽,dzrjuwngH,仕仲,通開三去東崇,2117
𩞉,dzrjuwng,鋤弓,通開三平東崇,7
嵩,sjuwng,息弓,通開三平東心,8
崧,sjuwng,息弓,通開三平東心,8
娀,sjuwng,息弓,通開三平東心,8
