Identifier,Transcription,Characters,Sixtuple,Fanqie
1,tuwng,東菄鶇䍶𠍀倲𩜍𢘐涷蝀凍鯟𢔅崠埬𧓕䰤,通開一平東端,德紅
2,duwng,同仝童僮銅桐峒硐𦨴𧱁筒瞳㼧𤭁罿犝筩潼曈洞侗橦烔䴀挏酮鮦㼿𦏆𦍻眮蕫穜衕𩍅𢈉䆚哃𢏕絧𨝯𨚯𪔝𩦶𪒿,通開一平東定,徒紅
3,trjuwng,中衷忠𦬕,通開三平東知,陟弓
4,drjuwng,蟲沖种盅爞𦬕翀,通開三平東澄,直弓
5,tsyuwng,終衆眾潨𣧩𧑄𩅧䝦䶱䈺螽鼨蔠柊鴤泈,通開三平東章,職戎
6,trhjuwng,忡浺盅,通開三平東徹,敕中
7,dzrjuwng,崇崈㓽𩞉,通開三平東崇,鋤弓
8,sjuwng,嵩崧娀菘硹𪀚㣝𧊕𨱿,通開三平東心,息弓
9,nyuwng,戎𢦦㭜𥬪𠈋茙駥狨絨,通開三平東日,如融
10,kjuwng,弓躳躬㴦宮匑,通開三平東見,居戎
11,yuwng,融肜瀜,通開三平東以,以戎
12,hjuwng,雄熊,通開三平東云,羽弓
13,mjuwng,瞢夢懜𨞯𦫰𧲎,通開三平東明,莫中
14,khjuwng,穹𢞏𦵡𥳎焪芎匑,通開三平東溪,去宮
15,gjuwng,窮藭𥨪,通開三平東群,渠弓
16,bjuwng,馮堸汎芃𨝭渢梵,通開三平東並,房戎
17,pjuwng,風飌楓猦偑檒𧆉瘋,通開三平東幫,方戎
18,phjuwng,豐酆蘴灃寷麷㒥𡾿,通開三平東滂,敷空
19,tsyhuwng,充珫茺㤝䘪𪎽㳘,通開三平東昌,昌終
20,ljuwng,隆癃𪔳㚅窿霳,通開三平東來,力中
21,khuwng,空箜崆椌硿悾埪倥涳鵼䅝𦱇𢃐𧌆,通開一平東溪,苦紅
22,kuwng,公功工疘蚣玒㓚釭魟攻愩碽篢,通開一平東見,古紅
23,muwng,蒙冡濛𩦺䰒艨朦矇饛檬𨢊䴿𢄐𨣘鸏幪罞髳蠓𦿏雺霿霧䀄懜霥礞,通開一平東明,莫紅
24,luwng,籠豅㰍朧𡃡龓䪊瀧聾𨏠䆍礱𪚗嚨蘢櫳𤮨巃襱𧙥瓏曨蠪鸗𩟭㟅屸,通開一平東來,盧紅
25,huwng,紅洪鉷訌虹仜鴻葒葓谼䉺䪦𦏼䫹𨾊烘洚渱𨹁䧆魟䂫,通開一平東匣,戸公
26,dzuwng,叢藂䕺潨𥵫,通開一平東從,徂紅
27,'uwng,翁螉䱵蓊䈵䩺㮬𩔚,通開一平東影,烏紅
28,tshuwng,怱匆忩葱蔥聦聰騘驄樬𨍉䡯𦇎𤧚璁𨣭𨣼鍯鏓㷓熜𢉛𢊕䗓蟌,通開一平東清,倉紅
29,thuwng,通蓪侗恫痌曈俑𧳆𨀜,通開一平東透,他紅
30,tsuwng,葼嵕艐鬷猣鯼椶棕騣鬃𥓻翪緵㣭稯堫蝬鬉㚇豵䗥嵸𩮀,通開一平東精,子紅
31,buwng,蓬𥭗篷髼蜂芃𧚋韸䮾𩖛,通開一平東並,薄紅
32,xuwng,烘叿魟谾𩐠𩗄,通開一平東曉,呼東
33,nguwng,㟅,通開一平東疑,五東
34,suwng,檧憽忪,通開一平東心,蘇公
35,towng,冬𠔙苳䳉笗𩂓𧲴,通開一平冬端,都宗
36,downg,彤疼佟炵䳋鼕𢥞𢾮爞㤏痋䂈鉵𧹝𩦶浵䶱𠩁鉖𨜳㠽赨,通開一平冬定,徒冬
37,dzowng,賨琮悰潨淙慒鬃㼻孮誴𢃏,通開一平冬從,藏宗
38,nowng,農䢉辳𨑋𩟊噥𩅽憹㺜儂𧗕膿,通開一平冬泥,奴冬
39,kowng,攻釭,通開一平冬見,古冬
40,howng,䃔洚㗢𩘎,通開一平冬匣,戸冬
41,lowng,䃧䥢𣫣,通開一平冬來,力冬
42,tsowng,宗倧,通開一平冬精,作冬
43,sowng,鬆䯳,通開一平冬心,私宗
44,thowng,炵,通開一平冬透,他冬
45,tsyowng,鍾鐘蚣忪䇗蹱彸衳伀橦籦妐㕬𧢸炂𦬘𨳗鈆,通開三平鍾章,職容
46,ljowng,龍𪚝躘鸗驡𪚠籠𦪽蘢,通開三平鍾來,力鍾
47,syowng,舂摏蹖憃𧐍𪄻,通開三平鍾書,書容
48,zjowng,松㮤淞訟,通開三平鍾邪,祥容
49,tsyhowng,衝𧘂罿憧䡴艟潼褈𠟍𠝤䂌,通開三平鍾昌,尺容
50,yowng,容溶滽庸𦤘𧴄㺎𤛑墉鎔鏞銿鄘傭𪅟𤮇㼸鱅蓉䗤傛褣搈瑢䈶嵱頌㝐䡆㟾𨲟𪃾槦㣑𢧳,通開三平鍾以,餘封
51,pjowng,封𡉚犎葑崶篈㜂,通開三平鍾幫,府容
52,xjowng,胸胷凶𣧑恟𧧗訩銎洶兇匈,通開三平鍾曉,許容
53,ngjowng,顒𩤛鰅喁,通開三平鍾疑,魚容
54,'jowng,邕雍噰嗈郺澭灉癰罋廱饔壅雝𪄉㻾𧴗蕹,通開三平鍾影,於容
55,nrjowng,濃醲𨑊襛穠檂𪒬𨲳㺜,通開三平鍾娘,女容
56,drjowng,重緟褈蝩穜䳯,通開三平鍾澄,直容
57,dzjowng,從从𩀰,通開三平鍾從,疾容
58,trhjowng,蹱傭𦟛𨙦䝑𨤩𪒒,通開三平鍾徹,丑凶
59,bjowng,逢縫夆漨䩼𥎌𥛝捀,通開三平鍾並,符容
60,phjowng,峯峰鋒丰𡴀𢓱妦蠭蜂𧒒蘴桻㷭烽莑仹㸼,通開三平鍾滂,敷容
61,tsjowng,縱𣯨蹤䡮樅磫豵熧𧺣,通開三平鍾精,即容
62,nyowng,茸襛䩸髶䇯搑𥎂榵穁穠,通開三平鍾日,而容
63,gjowng,蛩邛舼𦨰輁𦭭𥳎䂬蛬𠌖𩬰桏䅃𤤶𩢽筇,通開三平鍾群,渠容
64,dzyowng,鱅慵𩌨,通開三平鍾常,蜀庸
65,kjowng,恭龔供珙共廾䢼𤱨髸䳍,通開三平鍾見,九容
66,sjowng,蜙淞凇鬆倯𢔋,通開三平鍾心,息恭
67,tshjowng,樅鏦從暰䗥瑽摐䐫𥡬𧺣鬆𨑪,通開三平鍾清,七恭
68,khjowng,銎𥳎,通開三平鍾溪,曲恭
69,kaewng,江扛杠茳釭矼豇肛玒𧢸䜫,江開二平江見,古雙
70,maewng,厖駹狵尨浝哤牻娏䵨㟌蛖𥆙痝𠈵,江開二平江明,莫江
71,nraewng,𦗳𣰊涳噥𩟊鬞䁸𪆯,江開二平江娘,女江
72,tsrhaewng,窗囪牎窓䎫堫摐鏦𥍷,江開二平江初,楚江
73,paewng,邦𤰫梆垹,江開二平江幫,博江
74,haewng,栙䜶降缸缻洚夅跭,江開二平江匣,下江
75,phaewng,胮𤵸𩐨𪔔𪐿,江開二平江滂,匹江
76,laewng,瀧䮾,江開二平江來,呂江
77,sraewng,雙艭䉶𢥠䝄瀧𨇯,江開二平江生,所江
78,baewng,龐逄胮𩐨舽,江開二平江並,薄江
79,xaewng,肛啌谾舡𨋪夯,江開二平江曉,許江
80,'aewng,胦,江開二平江影,握江
81,khaewng,腔𤟄羫控椌悾跫涳崆𩩝㾤㼹,江開二平江溪,苦江
82,draewng,幢撞橦𣃘噇𩪘,江開二平江澄,宅江
83,trhaewng,憃䚎𥡟䄝𧜧,江開二平江徹,丑江
84,traewng,樁𣻛,江開二平江知,都江
85,ngaewng,㟅,江開二平江疑,五江
86,dzraewng,淙鬃㼻𩞐,江開二平江崇,士江
87,tsye,支𥾣只汥㲍卮巵梔衹枝㽻衼肢胑𨈛禔馶氏疻㩼鳷䧴觶榰㯄𪂅𧌔眵䡋𩍲,止開三平支章,章移
88,ye,移䄬迻𠩗杝鉹袲箷𥠥㥴詑簃䔟熪扅衪暆迆迤𤝻栘歋酏匜拸謻𠗺蛇虵螔𠐀𣣢䬁,止開三平支以,弋支
89,hjwe,爲為潙䧦鄬𩻟,止合三平支云,薳支
90,kjwe,嬀媯潙溈,止合三平支見,居爲
91,xjwe,𪎮麾噅𩻟䧦撝,止合三平支曉,許爲
92,'jwe,逶𣨙萎㮃覣痿蜲倭委䴧蟡,止合三平支影,於爲
93,mje,糜縻㸏𪎕蘼䊳𪎭𦗕醿,止開三平支明,靡爲
94,xjwie,隳隓墮眭觿睢䜐鑴蘳,止合三平支曉,許規
95,drjwe,鬌錘甀,止合三平支澄,直垂
96,dzywe,垂埀陲倕𦈼𨿠圌篅𥳙𠂹,止合三平支常,是爲
97,ljwe,羸𡰠𡰟,止合三平支來,力爲
98,tsyhwe,吹炊䶴{龡,止合三平支昌,昌垂
99,phje,鈹帔鮍披𤱍耚狓翍旇秛㿫㱟,止開三平支滂,敷羈
100,pje,陂詖碑羆𥀍𨰟𤜑𨧦𥶓襬藣㗗㽡焷䴽錍,止開三平支幫,彼爲
101,zjwe,隨隋𥶻,止合三平支邪,旬爲
102,khjwe,虧,止合三平支溪,去爲
103,khjwie,窺闚,止合三平支溪,去隨
104,gje,奇竒琦騎鵸弜鬾碕㩽𢺷錡,止開三平支群,渠羈
105,gjie,祇示衹岐歧𨙸馶疧蚑忯䞚翄𢻚軝𩉬芪汥跂䲬蚑䉻𦭲伎𨱜𠁭,止開三平支群,巨支
106,xje,犧羲焁桸巇羛戲𤃪曦𢹍𧕆䚙䖒㺣𣤴𢨛㚀隵,止開三平支曉,許羈
107,khje,㩻觭踦㱦崎𦖊碕𤘌㥓䗁攲崎榿,止開三平支溪,去奇
108,ngje,宜宐𠣨㝖儀𥪺䣡䴊轙涯崖,止開三平支疑,魚羈
109,bje,皮疲郫罷㯅犤,止開三平支並,符羈
110,dzye,匙提𦑡㖷䈕堤禔𦳚忯姼眂𣏚,止開三平支常,是支
111,nye,兒𠒆唲婼,止開三平支日,汝移
112,lje,離籬醨罹璃酈𣀷驪𪖂樆鸝鵹𪅆縭褵蘺䕻麗离䍦㰚蠡䅻孋漓灕𧕯㷰𧕮攡黐矖穲𢟢𢥗謧劙,止開三平支來,呂支
113,dzje,疵骴玼茈𣐑胔飺鴜,止開三平支從,疾移
114,tsje,貲頾髭頿訾𪕊鮆訾鄑㠿媊𨚖㰣鈭姕𦺱䖪觜,止開三平支精,即移
115,kje,羈畸羇掎攲竒奇㱦妓躸,止開三平支見,居宜
116,pjie,卑鵯椑箄裨鞞𩔹痺渒錍𢃍,止開三平支幫,府移
117,bjie,陴𩫫焷脾䴽埤裨蜱𧓎螷蠯㯅郫𪌈紕,止開三平支並,符支
118,sye,𦇲絁施葹䙾鍦鉈鸍𪓿䗐𧠜𢻫,止開三平支書,式支
119,sje,斯虒𩆵榹㴲廝㒋凘磃㾷傂謕鼶𪆁蟴㽄螔䫢䌳䔮菥𥕶蜤燍禠鐁,止開三平支心,息移
120,tsrhje,差縒嵯𪙉,止開三平支初,楚宜
121,trhje,摛螭誺魑黐㷰离𡴥彲,止開三平支徹,丑知
122,mjie,彌獼弥𪂕镾䍘𨤐𥉓㣆𥸀擟麊冞㜷䥸𥎖瀰,止開三平支明,武移
123,tshje,雌姕胔鈭𦍧,止開三平支清,此移
124,trje,知䵹鼅蜘䣽䝷,止開三平支知,陟移
